Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
1280800,-8.47,-4.98,-4.79,20.47,1025.81
1280922,-8.47,-5.02,-4.75,20.47,1025.81
1281045,-8.51,-4.98,-4.75,20.47,1025.81
1281168,-8.51,-4.98,-4.82,20.47,1025.81
1281291,-8.51,-5.02,-4.79,20.46,1025.81
1281414,-8.47,-5.02,-4.79,20.46,1025.81
1281537,-8.47,-5.02,-4.75,20.46,1025.81
1281659,-8.51,-5.02,-4.79,20.46,1025.81
1281781,-8.43,-5.02,-4.75,20.46,1025.81
1281904,-8.47,-4.98,-4.75,20.46,1025.81
1282027,-8.47,-5.02,-4.79,20.46,1025.81
1282150,-8.51,-4.98,-4.86,20.46,1025.81
1282273,-8.47,-5.02,-4.79,20.46,1025.81
1282396,-8.47,-5.02,-4.82,20.46,1025.81
1282518,-8.51,-5.02,-4.79,20.46,1025.80
1282641,-8.51,-4.98,-4.79,20.46,1025.81
1282763,-8.51,-4.98,-4.75,20.46,1025.81
1282886,-8.51,-5.02,-4.82,20.46,1025.80
1283009,-8.47,-5.02,-4.82,20.46,1025.80
1283132,-8.47,-5.02,-4.75,20.46,1025.79
1283254,-8.51,-5.02,-4.79,20.46,1025.80
1283377,-8.47,-4.98,-4.79,20.46,1025.80
1283500,-8.47,-5.02,-4.82,20.46,1025.79
1283623,-8.47,-5.02,-4.82,20.46,1025.80
1283746,-8.51,-5.02,-4.82,20.46,1025.80
1283868,-8.51,-4.98,-4.79,20.46,1025.80
1283991,-8.51,-5.02,-4.75,20.46,1025.79
1284113,-8.47,-5.02,-4.75,20.46,1025.79
1284236,-8.55,-4.98,-4.79,20.46,1025.79
1284359,-8.51,-5.02,-4.75,20.46,1025.80
1284482,-8.47,-5.02,-4.79,20.46,1025.80
1284605,-8.51,-4.98,-4.75,20.46,1025.80
1284728,-8.47,-4.98,-4.82,20.46,1025.80
1284849,-8.43,-5.02,-4.75,20.46,1025.80
1284972,-8.47,-5.02,-4.82,20.46,1025.80
1285095,-8.47,-5.02,-4.82,20.46,1025.80
1285218,-8.43,-5.02,-4.79,20.46,1025.80
1285341,-8.47,-4.98,-4.82,20.46,1025.80
1285464,-8.47,-4.98,-4.79,20.46,1025.80
1285586,-8.47,-5.02,-4.79,20.45,1025.80
1285709,-8.47,-5.02,-4.79,20.45,1025.80
1285831,-8.47,-4.98,-4.82,20.45,1025.80
1285954,-8.47,-5.02,-4.79,20.45,1025.80
1286077,-8.51,-5.02,-4.79,20.45,1025.80
1286200,-8.51,-5.02,-4.82,20.45,1025.80
1286323,-8.47,-5.02,-4.79,20.45,1025.79
1286445,-8.51,-4.98,-4.79,20.45,1025.79
1286568,-8.47,-4.98,-4.75,20.45,1025.79
1286691,-8.47,-4.98,-4.82,20.45,1025.79
1286813,-8.51,-4.98,-4.75,20.45,1025.80
1286936,-8.51,-4.98,-4.75,20.45,1025.80
1287059,-8.47,-4.98,-4.79,20.45,1025.81
1287181,-8.51,-4.98,-4.79,20.45,1025.81
1287304,-8.47,-5.02,-4.75,20.45,1025.82
1287427,-8.51,-4.98,-4.79,20.45,1025.82
1287550,-8.43,-5.02,-4.79,20.45,1025.82
1287673,-8.55,-4.94,-4.79,20.45,1025.82
1287795,-8.51,-5.02,-4.75,20.45,1025.82
1287918,-8.47,-5.02,-4.79,20.45,1025.81
1288040,-8.47,-4.98,-4.75,20.45,1025.82
1288163,-8.47,-5.02,-4.79,20.45,1025.82
1288286,-8.51,-4.98,-4.75,20.45,1025.82
1288409,-8.47,-5.02,-4.75,20.45,1025.83
1288532,-8.47,-5.02,-4.79,20.45,1025.82
1288655,-8.47,-5.02,-4.71,20.45,1025.83
1288776,-8.47,-5.02,-4.75,20.45,1025.82
1288899,-8.51,-4.98,-4.75,20.45,1025.82
1289022,-8.47,-5.02,-4.75,20.45,1025.82
1289145,-8.51,-4.98,-4.79,20.45,1025.82
1289268,-8.51,-4.98,-4.86,20.45,1025.81
1289391,-8.47,-4.98,-4.75,20.45,1025.81
1289513,-8.47,-4.98,-4.79,20.45,1025.81
1289636,-8.51,-5.02,-4.82,20.45,1025.81
1289758,-8.47,-5.02,-4.75,20.45,1025.81
1289881,-8.51,-5.02,-4.79,20.45,1025.81
1290004,-8.47,-5.02,-4.71,20.45,1025.81
1290127,-8.51,-5.02,-4.71,20.45,1025.81
1290250,-8.47,-5.02,-4.75,20.45,1025.82
1290372,-8.47,-5.02,-4.79,20.45,1025.81
1290495,-8.47,-5.02,-4.79,20.45,1025.82
1290618,-8.51,-5.02,-4.75,20.45,1025.81
1290740,-8.51,-4.98,-4.75,20.45,1025.81
1290863,-8.51,-4.98,-4.79,20.45,1025.82
1290986,-8.47,-4.98,-4.75,20.45,1025.82
1291108,-8.47,-5.02,-4.79,20.45,1025.82
1291231,-8.47,-5.02,-4.75,20.45,1025.83
1291354,-8.47,-4.98,-4.82,20.45,1025.83
1291477,-8.47,-4.98,-4.82,20.45,1025.82
1291600,-8.47,-5.02,-4.82,20.45,1025.82
1291722,-8.51,-5.02,-4.75,20.45,1025.82
1291845,-8.51,-4.98,-4.79,20.44,1025.82
1291967,-8.47,-5.02,-4.79,20.44,1025.82
1292090,-8.47,-5.02,-4.75,20.44,1025.82
1292213,-8.51,-5.02,-4.82,20.44,1025.82
1292336,-8.51,-4.98,-4.79,20.44,1025.82
1292459,-8.51,-5.02,-4.79,20.44,1025.82
1292582,-8.51,-5.02,-4.82,20.44,1025.82
1292703,-8.47,-4.98,-4.75,20.44,1025.82
1292826,-8.47,-5.02,-4.86,20.44,1025.81
1292949,-8.51,-5.02,-4.79,20.44,1025.82
1293072,-8.51,-4.98,-4.79,20.44,1025.82
1293195,-8.51,-4.98,-4.79,20.44,1025.82
1293318,-8.51,-5.02,-4.79,20.44,1025.82
1293440,-8.51,-4.98,-4.79,20.44,1025.82
1293563,-8.51,-5.02,-4.75,20.44,1025.82
1293685,-8.51,-5.02,-4.71,20.44,1025.82
1293808,-8.47,-5.02,-4.79,20.44,1025.82
1293931,-8.47,-5.02,-4.82,20.44,1025.82
1294054,-8.47,-5.02,-4.75,20.44,1025.82
1294177,-8.51,-4.98,-4.82,20.44,1025.82
1294299,-8.47,-5.02,-4.71,20.44,1025.82
1294422,-8.47,-5.02,-4.75,20.44,1025.82
1294545,-8.47,-4.98,-4.75,20.44,1025.82
1294667,-8.51,-5.02,-4.82,20.44,1025.81
1294790,-8.47,-4.98,-4.79,20.44,1025.81
1294913,-8.51,-5.02,-4.75,20.44,1025.81
1295035,-8.47,-5.02,-4.75,20.44,1025.81
1295158,-8.47,-4.98,-4.79,20.44,1025.82
1295281,-8.47,-5.02,-4.75,20.44,1025.82
1295404,-8.47,-5.02,-4.75,20.44,1025.82
1295527,-8.47,-5.02,-4.82,20.44,1025.82
1295650,-8.51,-5.02,-4.75,20.44,1025.82
1295772,-8.43,-5.02,-4.82,20.44,1025.82
1295894,-8.47,-5.02,-4.82,20.44,1025.82
1296017,-8.51,-4.98,-4.82,20.44,1025.82
1296140,-8.47,-4.98,-4.75,20.44,1025.82
1296263,-8.47,-4.98,-4.75,20.44,1025.82
1296386,-8.47,-5.02,-4.79,20.44,1025.82
1296509,-8.47,-5.02,-4.79,20.44,1025.82
1296630,-8.51,-4.98,-4.71,20.44,1025.82
1296753,-8.51,-5.02,-4.75,20.44,1025.81
1296876,-8.47,-4.94,-4.79,20.44,1025.82
1296999,-8.51,-4.98,-4.79,20.44,1025.82
1297122,-8.47,-5.02,-4.71,20.44,1025.82
1297245,-8.51,-4.98,-4.75,20.44,1025.82
1297367,-8.51,-4.98,-4.86,20.44,1025.82
1297490,-8.51,-5.02,-4.75,20.44,1025.82
1297613,-8.51,-5.02,-4.82,20.44,1025.82
1297735,-8.51,-4.98,-4.79,20.44,1025.82
1297858,-8.47,-5.02,-4.71,20.44,1025.82
1297981,-8.51,-4.98,-4.71,20.44,1025.82
1298104,-8.51,-5.02,-4.75,20.44,1025.82
1298226,-8.47,-4.98,-4.67,20.44,1025.82
1298349,-8.47,-5.02,-4.79,20.44,1025.82
1298472,-8.47,-5.02,-4.79,20.44,1025.81
1298595,-8.47,-5.02,-4.79,20.44,1025.82
1298717,-8.47,-5.02,-4.75,20.44,1025.82
1298840,-8.47,-5.02,-4.75,20.44,1025.81
1298962,-8.51,-4.98,-4.79,20.44,1025.81
1299085,-8.51,-5.02,-4.79,20.44,1025.81
1299208,-8.51,-5.02,-4.82,20.44,1025.81
1299331,-8.51,-4.98,-4.75,20.44,1025.81
1299454,-8.51,-4.98,-4.82,20.44,1025.81
1299577,-8.51,-4.98,-4.82,20.44,1025.82
1299699,-8.51,-4.98,-4.79,20.44,1025.82
1299821,-8.51,-4.98,-4.75,20.44,1025.82
1299944,-8.51,-5.02,-4.75,20.44,1025.83
1300067,-8.47,-4.98,-4.82,20.44,1025.83
1300190,-8.47,-5.02,-4.79,20.44,1025.83
1300313,-8.51,-5.02,-4.82,20.44,1025.83
1300436,-8.51,-5.02,-4.75,20.44,1025.83
1300558,-8.47,-5.02,-4.79,20.44,1025.83
1300680,-8.51,-4.98,-4.79,20.44,1025.83
1300803,-8.43,-5.02,-4.82,20.44,1025.83
1300926,-8.47,-5.02,-4.79,20.44,1025.83
1301049,-8.51,-4.98,-4.75,20.44,1025.82
1301172,-8.51,-5.02,-4.79,20.44,1025.82
1301294,-8.51,-4.98,-4.79,20.44,1025.83
1301417,-8.55,-5.02,-4.82,20.44,1025.83
1301540,-8.47,-5.02,-4.75,20.44,1025.83
1301662,-8.43,-5.02,-4.75,20.44,1025.84
1301785,-8.51,-5.02,-4.79,20.44,1025.85
1301908,-8.47,-5.02,-4.79,20.44,1025.85
1302031,-8.47,-4.98,-4.75,20.44,1025.85
1302153,-8.43,-4.98,-4.75,20.44,1025.85
1302276,-8.47,-5.02,-4.75,20.44,1025.85
1302399,-8.47,-4.98,-4.75,20.44,1025.84
1302522,-8.43,-5.02,-4.79,20.44,1025.84
1302644,-8.51,-5.02,-4.79,20.44,1025.84
1302767,-8.47,-5.02,-4.79,20.44,1025.84
1302889,-8.47,-4.98,-4.82,20.44,1025.84
1303012,-8.51,-4.98,-4.79,20.44,1025.84
1303135,-8.47,-4.98,-4.79,20.44,1025.83
1303258,-8.47,-5.02,-4.86,20.44,1025.83
1303381,-8.47,-5.02,-4.79,20.44,1025.83
1303504,-8.51,-5.02,-4.79,20.44,1025.83
1303626,-8.51,-5.02,-4.79,20.44,1025.83
1303748,-8.51,-4.98,-4.79,20.44,1025.83
1303871,-8.47,-5.06,-4.79,20.44,1025.83
1303994,-8.51,-4.98,-4.75,20.44,1025.83
1304117,-8.47,-5.02,-4.79,20.44,1025.83
1304240,-8.47,-5.02,-4.75,20.44,1025.83
1304363,-8.47,-5.02,-4.79,20.44,1025.84
1304485,-8.47,-4.98,-4.79,20.44,1025.84
1304607,-8.51,-4.98,-4.75,20.44,1025.84
1304730,-8.51,-4.98,-4.75,20.44,1025.84
1304853,-8.51,-5.02,-4.79,20.44,1025.84
1304976,-8.47,-5.02,-4.79,20.44,1025.84
1305099,-8.47,-5.02,-4.79,20.44,1025.84
1305221,-8.51,-5.02,-4.71,20.44,1025.84
1305344,-8.47,-5.02,-4.82,20.44,1025.84
1305467,-8.51,-5.02,-4.79,20.44,1025.84
1305589,-8.51,-4.98,-4.79,20.44,1025.84
1305712,-8.51,-4.98,-4.79,20.44,1025.84
1305835,-8.51,-5.02,-4.79,20.44,1025.84
1305958,-8.47,-5.02,-4.79,20.44,1025.84
1306080,-8.51,-4.98,-4.79,20.44,1025.84
1306203,-8.51,-4.98,-4.79,20.44,1025.84
1306326,-8.47,-5.02,-4.82,20.44,1025.84
1306449,-8.51,-4.98,-4.82,20.44,1025.83
1306571,-8.47,-5.02,-4.79,20.44,1025.83
1306694,-8.51,-4.98,-4.71,20.44,1025.84
1306816,-8.51,-5.02,-4.82,20.44,1025.84
1306939,-8.55,-5.02,-4.82,20.44,1025.84
1307062,-8.51,-5.02,-4.79,20.44,1025.84
1307185,-8.51,-4.98,-4.79,20.44,1025.85
1307308,-8.47,-5.02,-4.79,20.44,1025.85
1307431,-8.51,-4.98,-4.75,20.44,1025.84
1307554,-8.51,-5.02,-4.79,20.44,1025.84
1307675,-8.43,-5.02,-4.82,20.44,1025.84
1307798,-8.51,-5.02,-4.79,20.44,1025.84
1307921,-8.47,-4.98,-4.75,20.44,1025.84
1308044,-8.51,-5.02,-4.79,20.44,1025.84
1308167,-8.51,-5.02,-4.79,20.44,1025.84
1308290,-8.55,-4.98,-4.75,20.44,1025.84
1308412,-8.55,-5.02,-4.75,20.45,1025.84
1308534,-8.43,-5.02,-4.79,20.45,1025.84
1308657,-8.47,-5.02,-4.67,20.45,1025.84
1308780,-8.51,-4.98,-4.79,20.45,1025.84
1308903,-8.47,-5.02,-4.82,20.45,1025.84
1309026,-8.51,-4.98,-4.79,20.45,1025.84
1309148,-8.47,-5.02,-4.67,20.45,1025.84
1309271,-8.51,-5.02,-4.79,20.45,1025.83
1309394,-8.51,-4.98,-4.71,20.45,1025.83
1309517,-8.47,-5.02,-4.75,20.45,1025.84
1309639,-8.47,-4.98,-4.75,20.45,1025.84
1309762,-8.43,-4.98,-4.82,20.45,1025.84
1309885,-8.51,-5.02,-4.75,20.45,1025.84
1310007,-8.51,-5.02,-4.75,20.45,1025.84
1310130,-8.43,-5.02,-4.75,20.45,1025.84
1310253,-8.47,-5.02,-4.75,20.45,1025.84
1310376,-8.51,-4.98,-4.79,20.45,1025.85
1310499,-8.51,-5.02,-4.79,20.45,1025.85
1310621,-8.47,-5.02,-4.79,20.45,1025.85
1310743,-8.51,-4.98,-4.75,20.45,1025.85
1310866,-8.51,-4.98,-4.79,20.45,1025.84
1310989,-8.51,-4.98,-4.75,20.45,1025.84
1311112,-8.47,-5.02,-4.79,20.45,1025.84
1311235,-8.51,-4.98,-4.75,20.45,1025.84
1311358,-8.51,-4.98,-4.79,20.45,1025.84
1311481,-8.51,-4.98,-4.79,20.45,1025.84
1311602,-8.51,-4.98,-4.75,20.45,1025.84
1311725,-8.43,-5.02,-4.75,20.45,1025.84
1311848,-8.47,-4.98,-4.71,20.45,1025.84
1311971,-8.47,-5.02,-4.75,20.45,1025.84
1312094,-8.51,-5.02,-4.75,20.45,1025.84
1312217,-8.51,-4.98,-4.79,20.45,1025.83
1312339,-8.47,-4.98,-4.71,20.45,1025.83
1312462,-8.47,-5.02,-4.79,20.45,1025.83
1312584,-8.55,-5.02,-4.71,20.45,1025.83
1312707,-8.47,-5.02,-4.79,20.45,1025.83
1312830,-8.47,-5.02,-4.79,20.45,1025.83
1312953,-8.47,-5.02,-4.79,20.45,1025.84
1313075,-8.51,-4.98,-4.79,20.45,1025.84
1313198,-8.47,-5.02,-4.79,20.45,1025.84
1313321,-8.51,-5.02,-4.75,20.45,1025.84
1313444,-8.51,-5.02,-4.79,20.45,1025.85
1313566,-8.51,-4.98,-4.75,20.45,1025.86
1313689,-8.43,-5.02,-4.82,20.45,1025.86
1313812,-8.55,-4.98,-4.71,20.45,1025.86
1313934,-8.47,-4.98,-4.82,20.45,1025.86
1314057,-8.55,-5.02,-4.79,20.45,1025.86
1314180,-8.47,-5.02,-4.82,20.45,1025.86
1314303,-8.43,-5.02,-4.75,20.45,1025.87
1314426,-8.47,-4.98,-4.79,20.45,1025.86
1314548,-8.51,-4.98,-4.79,20.45,1025.86
1314670,-8.51,-4.98,-4.79,20.45,1025.86
1314793,-8.47,-5.02,-4.75,20.45,1025.86
1314916,-8.47,-5.02,-4.75,20.45,1025.86
1315039,-8.47,-5.02,-4.79,20.45,1025.86
1315162,-8.47,-5.02,-4.79,20.45,1025.86
1315285,-8.47,-4.98,-4.82,20.45,1025.86
1315408,-8.47,-5.02,-4.75,20.45,1025.86
1315529,-8.51,-5.02,-4.82,20.45,1025.85
1315652,-8.51,-4.98,-4.79,20.45,1025.85
1315775,-8.51,-4.98,-4.79,20.46,1025.85
1315898,-8.47,-5.02,-4.79,20.46,1025.85
1316021,-8.55,-4.98,-4.79,20.46,1025.85
1316144,-8.47,-5.02,-4.75,20.46,1025.85
1316266,-8.47,-5.02,-4.75,20.46,1025.84
1316389,-8.51,-5.02,-4.79,20.46,1025.84
1316511,-8.47,-4.98,-4.79,20.46,1025.84
1316634,-8.47,-5.02,-4.75,20.46,1025.84
1316757,-8.51,-5.02,-4.79,20.46,1025.84
1316880,-8.51,-4.98,-4.79,20.46,1025.83
1317002,-8.47,-5.02,-4.82,20.46,1025.84
1317125,-8.47,-5.02,-4.75,20.46,1025.84
1317248,-8.51,-5.02,-4.75,20.46,1025.84
1317371,-8.51,-4.98,-4.79,20.46,1025.84
1317493,-8.47,-5.02,-4.79,20.46,1025.84
1317616,-8.51,-5.02,-4.75,20.46,1025.84
1317739,-8.47,-4.98,-4.79,20.46,1025.84
1317861,-8.51,-5.02,-4.82,20.46,1025.85
1317984,-8.51,-4.98,-4.75,20.46,1025.84
1318107,-8.47,-4.98,-4.79,20.46,1025.84
1318230,-8.43,-5.02,-4.75,20.46,1025.84
1318353,-8.51,-5.06,-4.82,20.46,1025.85
1318475,-8.51,-5.02,-4.75,20.46,1025.85
1318597,-8.47,-4.98,-4.75,20.46,1025.85
1318720,-8.55,-4.98,-4.75,20.46,1025.85
1318843,-8.51,-5.02,-4.82,20.46,1025.84
1318966,-8.47,-5.02,-4.79,20.46,1025.84
1319089,-8.47,-5.02,-4.79,20.46,1025.84
1319212,-8.47,-5.02,-4.79,20.46,1025.84
1319335,-8.51,-4.98,-4.75,20.46,1025.84
1319456,-8.55,-4.98,-4.79,20.46,1025.85
1319579,-8.47,-5.02,-4.79,20.46,1025.85
1319702,-8.47,-4.98,-4.79,20.46,1025.85
1319825,-8.51,-4.98,-4.75,20.46,1025.84
1319948,-8.47,-4.98,-4.79,20.46,1025.84
1320071,-8.51,-5.02,-4.71,20.46,1025.84
1320193,-8.51,-4.98,-4.79,20.46,1025.84
1320316,-8.51,-4.98,-4.75,20.46,1025.84
1320438,-8.47,-4.98,-4.75,20.46,1025.84
1320561,-8.47,-4.98,-4.75,20.46,1025.83
1320684,-8.47,-4.98,-4.75,20.46,1025.83
1320807,-8.47,-4.98,-4.75,20.46,1025.83
1320929,-8.51,-4.98,-4.75,20.46,1025.83
1321052,-8.47,-4.98,-4.79,20.46,1025.83
1321175,-8.47,-5.02,-4.82,20.46,1025.83
1321298,-8.47,-5.02,-4.79,20.46,1025.83
1321421,-8.43,-5.02,-4.79,20.46,1025.82
1321543,-8.51,-5.02,-4.75,20.46,1025.82
1321666,-8.51,-5.02,-4.75,20.46,1025.82
1321788,-8.47,-5.02,-4.82,20.46,1025.82
1321911,-8.51,-4.98,-4.79,20.46,1025.83
1322034,-8.51,-5.02,-4.82,20.46,1025.83
1322157,-8.51,-5.02,-4.82,20.46,1025.83
1322280,-8.47,-5.02,-4.79,20.46,1025.83
1322403,-8.47,-5.02,-4.75,20.46,1025.83
1322524,-8.47,-5.02,-4.82,20.47,1025.84
1322647,-8.47,-5.02,-4.79,20.47,1025.84
1322770,-8.51,-4.98,-4.82,20.47,1025.84
1322893,-8.51,-4.98,-4.79,20.47,1025.84
1323016,-8.43,-4.98,-4.71,20.47,1025.84
1323139,-8.43,-5.02,-4.79,20.47,1025.84
1323262,-8.51,-4.98,-4.79,20.47,1025.85
1323384,-8.51,-5.02,-4.71,20.47,1025.85
1323506,-8.51,-5.02,-4.79,20.47,1025.85
1323629,-8.47,-4.98,-4.79,20.47,1025.85
1323752,-8.51,-5.02,-4.79,20.47,1025.85
1323875,-8.47,-5.02,-4.79,20.47,1025.85
1323998,-8.47,-5.02,-4.79,20.47,1025.84
1324120,-8.47,-5.02,-4.75,20.47,1025.84
1324243,-8.55,-4.98,-4.79,20.46,1025.84
1324366,-8.47,-5.02,-4.82,20.47,1025.85
1324488,-8.47,-5.02,-4.75,20.47,1025.85
1324611,-8.51,-5.02,-4.82,20.47,1025.85
1324734,-8.47,-4.98,-4.82,20.47,1025.85
1324856,-8.55,-4.98,-4.79,20.47,1025.86
1324979,-8.55,-5.02,-4.71,20.47,1025.86
1325102,-8.51,-5.02,-4.79,20.47,1025.86
1325225,-8.51,-5.02,-4.79,20.47,1025.86
1325348,-8.47,-5.02,-4.79,20.47,1025.86
1325470,-8.51,-5.02,-4.79,20.47,1025.86
1325593,-8.51,-5.02,-4.79,20.47,1025.85
1325715,-8.47,-5.02,-4.82,20.47,1025.85
1325838,-8.47,-5.02,-4.79,20.47,1025.85
1325961,-8.47,-5.02,-4.75,20.47,1025.85
1326084,-8.55,-4.98,-4.75,20.47,1025.84
1326207,-8.47,-5.02,-4.82,20.47,1025.84
1326330,-8.47,-5.06,-4.82,20.47,1025.84
1326451,-8.47,-5.02,-4.79,20.47,1025.84
1326574,-8.47,-5.02,-4.75,20.47,1025.84
1326697,-8.51,-5.02,-4.75,20.47,1025.84
1326820,-8.47,-4.98,-4.75,20.47,1025.83
1326943,-8.51,-5.02,-4.79,20.47,1025.83
1327066,-8.47,-5.02,-4.82,20.47,1025.83
1327189,-8.51,-5.02,-4.79,20.47,1025.83
1327311,-8.47,-4.94,-4.79,20.47,1025.83
1327433,-8.55,-4.98,-4.79,20.47,1025.83
1327556,-8.43,-4.98,-4.79,20.47,1025.84
1327679,-8.51,-4.98,-4.75,20.47,1025.84
1327802,-8.47,-5.02,-4.82,20.47,1025.84
1327925,-8.51,-5.02,-4.75,20.47,1025.84
1328047,-8.47,-5.02,-4.75,20.47,1025.84
1328170,-8.47,-5.02,-4.79,20.47,1025.84
1328293,-8.47,-5.02,-4.75,20.47,1025.85
1328415,-8.47,-4.98,-4.79,20.47,1025.84
1328538,-8.47,-4.98,-4.79,20.47,1025.85
1328661,-8.47,-5.02,-4.79,20.47,1025.85
1328783,-8.47,-5.02,-4.75,20.47,1025.85
1328906,-8.55,-5.02,-4.71,20.47,1025.85
1329029,-8.47,-5.02,-4.79,20.47,1025.85
1329152,-8.47,-5.02,-4.75,20.47,1025.86
1329275,-8.47,-5.02,-4.82,20.47,1025.86
1329397,-8.51,-4.98,-4.79,20.47,1025.86
1329520,-8.47,-4.98,-4.79,20.47,1025.86
1329642,-8.47,-4.98,-4.82,20.47,1025.86
1329765,-8.51,-4.98,-4.79,20.47,1025.86
1329888,-8.47,-5.02,-4.79,20.47,1025.86
1330011,-8.51,-4.98,-4.75,20.47,1025.87
1330134,-8.51,-5.02,-4.79,20.47,1025.87
1330257,-8.51,-4.98,-4.82,20.47,1025.87
1330378,-8.47,-5.02,-4.79,20.47,1025.88
1330501,-8.47,-5.02,-4.71,20.47,1025.87
1330624,-8.51,-4.98,-4.86,20.47,1025.87
1330747,-8.47,-4.98,-4.71,20.47,1025.87
1330870,-8.47,-4.98,-4.82,20.47,1025.87
1330993,-8.47,-4.98,-4.79,20.47,1025.86
1331116,-8.51,-5.02,-4.71,20.47,1025.87
1331238,-8.51,-4.98,-4.75,20.47,1025.87
1331360,-8.51,-5.02,-4.79,20.47,1025.86
1331483,-8.47,-5.02,-4.75,20.47,1025.87
1331606,-8.51,-4.98,-4.79,20.47,1025.86
1331729,-8.47,-5.02,-4.75,20.47,1025.86
1331852,-8.47,-5.02,-4.82,20.47,1025.86
1331974,-8.51,-4.98,-4.79,20.47,1025.86
1332097,-8.51,-5.02,-4.75,20.47,1025.86
1332220,-8.51,-4.98,-4.79,20.47,1025.86
1332342,-8.47,-5.02,-4.79,20.47,1025.85
1332465,-8.47,-5.02,-4.75,20.47,1025.85
1332588,-8.51,-4.98,-4.79,20.47,1025.85
1332710,-8.51,-4.98,-4.82,20.47,1025.85
1332833,-8.51,-4.98,-4.86,20.47,1025.85
1332956,-8.47,-5.02,-4.79,20.47,1025.86
1333079,-8.47,-4.98,-4.79,20.47,1025.86
1333202,-8.51,-4.98,-4.79,20.47,1025.86
1333325,-8.47,-5.02,-4.79,20.47,1025.86
1333447,-8.43,-4.98,-4.75,20.47,1025.86
1333569,-8.51,-5.02,-4.82,20.47,1025.86
1333692,-8.47,-5.02,-4.75,20.47,1025.86
1333815,-8.47,-4.98,-4.75,20.47,1025.86
1333938,-8.55,-5.02,-4.79,20.47,1025.85
1334061,-8.43,-4.98,-4.79,20.47,1025.85
1334184,-8.43,-5.02,-4.82,20.47,1025.85
1334306,-8.47,-4.98,-4.71,20.47,1025.84
1334428,-8.55,-4.98,-4.82,20.47,1025.84
1334551,-8.55,-5.02,-4.79,20.47,1025.84
1334674,-8.51,-5.02,-4.75,20.47,1025.84
1334797,-8.47,-4.98,-4.79,20.47,1025.84
1334920,-8.47,-5.02,-4.71,20.47,1025.84
1335043,-8.51,-5.06,-4.75,20.47,1025.85
1335165,-8.47,-5.02,-4.86,20.47,1025.85
1335288,-8.47,-5.02,-4.82,20.47,1025.85
1335410,-8.51,-5.02,-4.75,20.47,1025.85
1335533,-8.47,-4.94,-4.75,20.47,1025.85
1335656,-8.51,-4.98,-4.79,20.47,1025.85
1335779,-8.55,-4.98,-4.79,20.47,1025.86
1335901,-8.47,-4.94,-4.86,20.47,1025.86
1336024,-8.47,-4.98,-4.86,20.47,1025.86
1336147,-8.47,-4.98,-4.75,20.47,1025.86
1336270,-8.47,-4.98,-4.82,20.47,1025.86
1336392,-8.51,-5.02,-4.75,20.48,1025.87
1336515,-8.55,-4.98,-4.79,20.48,1025.87
1336637,-8.51,-5.02,-4.71,20.48,1025.86
1336760,-8.47,-4.98,-4.82,20.48,1025.86
1336883,-8.47,-5.02,-4.79,20.47,1025.86
1337006,-8.47,-4.98,-4.75,20.47,1025.86
1337129,-8.51,-4.98,-4.79,20.47,1025.85
1337252,-8.51,-5.02,-4.75,20.47,1025.85
1337374,-8.47,-4.98,-4.75,20.47,1025.84
1337496,-8.55,-4.98,-4.79,20.47,1025.84
1337619,-8.55,-4.98,-4.75,20.47,1025.84
1337742,-8.43,-5.02,-4.75,20.47,1025.84
1337865,-8.47,-5.02,-4.79,20.47,1025.84
1337988,-8.47,-5.02,-4.75,20.47,1025.85
1338111,-8.51,-4.98,-4.75,20.47,1025.85
1338233,-8.47,-5.02,-4.82,20.47,1025.85
1338355,-8.51,-5.02,-4.79,20.47,1025.85
1338478,-8.47,-5.02,-4.75,20.47,1025.85
1338601,-8.51,-4.98,-4.79,20.47,1025.84
1338724,-8.47,-5.02,-4.75,20.47,1025.84
1338847,-8.51,-5.02,-4.75,20.47,1025.84
1338970,-8.51,-4.98,-4.79,20.47,1025.84
1339092,-8.47,-4.98,-4.79,20.47,1025.85
1339215,-8.47,-4.98,-4.79,20.48,1025.85
1339337,-8.51,-5.02,-4.79,20.47,1025.85
1339460,-8.47,-5.02,-4.79,20.47,1025.85
1339583,-8.51,-4.98,-4.79,20.47,1025.85
1339706,-8.51,-5.06,-4.75,20.47,1025.85
1339828,-8.51,-4.98,-4.71,20.47,1025.86
1339951,-8.51,-4.98,-4.79,20.47,1025.86
1340074,-8.51,-4.98,-4.82,20.47,1025.86
1340197,-8.55,-5.02,-4.82,20.47,1025.86
1340319,-8.51,-4.98,-4.75,20.47,1025.86
1340442,-8.47,-5.02,-4.79,20.47,1025.86
1340564,-8.47,-5.02,-4.79,20.47,1025.86
1340687,-8.43,-5.02,-4.75,20.47,1025.85
1340810,-8.47,-4.98,-4.75,20.47,1025.85
1340933,-8.51,-5.02,-4.82,20.47,1025.86
1341056,-8.51,-4.98,-4.75,20.47,1025.86
1341179,-8.47,-5.02,-4.79,20.47,1025.86
1341301,-8.51,-5.02,-4.86,20.47,1025.86
1341423,-8.51,-4.98,-4.79,20.47,1025.85
1341546,-8.51,-4.98,-4.75,20.47,1025.85
1341669,-8.47,-4.98,-4.67,20.47,1025.85
